音乐之声,"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02
喜剧之王,"主演：周星驰,莫文蔚,张柏芝",1999-02-13
大闹天宫,"主演：邱岳峰,毕克,富润生",1965-12-31
春光乍泄,"主演：张国荣,梁朝伟,张震",1997-05-30
剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",1990-12-06
美丽人生,"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",1997-12-20
黑客帝国,"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000-01-14
哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26
指环王3：王者无敌,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
加勒比海盗,"主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003-11-21
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-18
无间道,"主演：刘德华,梁朝伟,黄秋生",2003-09-05
楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998-06-01
教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974-12-12
射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",1993-02-05
机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27
指环王1：护戒使者,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2002-04-04
指环王2：双塔奇兵,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003-04-25
狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995-07-15
活着,"主演：葛优,巩俐,牛犇",1994-05-18
拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-11-13
哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",2004-11-20
盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",2010-03-12
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15
幽灵公主,"主演：松田洋治,石田百合子,田中裕子",1998-05-01
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
风之谷,"主演：岛本须美,永井一郎,坂本千夏",1992
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13
